,name,word,start_x,end_x,sex,age,principal_residence,vowel,path,start_y,mid,end_y,consonant,status,mid_vowel,ratio
949,SDRW2200000135.1.1.510.wav,니체가,0.0,7360.0,남성,20대,경기,ㄴㅣㅊ,/home/hyohyeongjang/phonology/ni/SDRW2200000135.1.1.510.wav,119.0,231.0,312.0,D,cute!,ㅣ,0.58
1041,SDRW2200000948.1.1.247.wav,뉴진스만의,7040.0,25600.0,남성,20대,경기,ㄴㅠㅈ,/home/hyohyeongjang/phonology/ni/SDRW2200000948.1.1.247.wav,382.0,437.0,880.0,E,cute!,ㅠ,0.11
1200,SDRW2200002527.1.1.380.wav,녀석들이,6720.0,19200.0,남성,20대,경기,ㄴㅕㅅ,/home/hyohyeongjang/phonology/ni/SDRW2200002527.1.1.380.wav,337.0,400.0,822.0,E,cute!,ㅕ,0.13
