,name,word,start_x,end_x,sex,age,principal_residence,vowel,path,start_y,mid,end_y,consonant,status,mid_vowel,ratio
230,SDRW2100000107.1.1.124.wav,리노는,0.0,19520.0,여성,20대,서울,ㄹㅣㄴ,/home/hyohyeongjang/phonology/ri/SDRW2100000107.1.1.124.wav,784.0,888.0,971.0,R,cute!,ㅣ,0.556
231,SDRW2100000110.1.1.43.wav,리무진?,0.0,24640.0,여성,20대,서울,ㄹㅣㅁ,/home/hyohyeongjang/phonology/ri/SDRW2100000110.1.1.43.wav,433.0,1167.0,1258.0,R,cute!,ㅣ,0.89
232,SDRW2100000110.1.1.45.wav,리무진을,29760.0,40640.0,여성,20대,서울,ㄹㅣㅁ,/home/hyohyeongjang/phonology/ri/SDRW2100000110.1.1.45.wav,513.0,716.0,784.0,R,cute!,ㅣ,0.749
233,SDRW2100000116.1.1.236.wav,리모델링,4160.0,15680.0,여성,20대,서울,ㄹㅣㅁ,/home/hyohyeongjang/phonology/ri/SDRW2100000116.1.1.236.wav,281.0,900.0,983.0,R,cute!,ㅣ,0.882
243,SDRW2100000260.1.1.128.wav,리스트를,0.0,12480.0,여성,20대,경기,ㄹㅣㅅ,/home/hyohyeongjang/phonology/ri/SDRW2100000260.1.1.128.wav,0.0,291.0,433.0,R,cute!,ㅣ,0.672
244,SDRW2100000263.1.1.43.wav,리스트,7360.0,16320.0,여성,20대,서울,ㄹㅣㅅ,/home/hyohyeongjang/phonology/ri/SDRW2100000263.1.1.43.wav,698.0,843.0,955.0,R,cute!,ㅣ,0.564
249,SDRW2100000279.1.1.63.wav,리사가,16960.0,23360.0,여성,20대,서울,ㄹㅣㅅ,/home/hyohyeongjang/phonology/ri/SDRW2100000279.1.1.63.wav,532.0,664.0,762.0,R,cute!,ㅣ,0.574
250,SDRW2100000279.1.1.92.wav,리사,14720.0,21760.0,여성,20대,서울,ㄹㅣㅅ,/home/hyohyeongjang/phonology/ri/SDRW2100000279.1.1.92.wav,550.0,842.0,923.0,R,cute!,ㅣ,0.783
251,SDRW2100000279.1.1.94.wav,리사가,0.0,6080.0,여성,20대,서울,ㄹㅣㅅ,/home/hyohyeongjang/phonology/ri/SDRW2100000279.1.1.94.wav,0.0,177.0,240.0,R,cute!,ㅣ,0.738
254,SDRW2100000299.1.1.74.wav,리가,42240.0,44480.0,여성,20대,서울,ㄹㅣㄱ,/home/hyohyeongjang/phonology/ri/SDRW2100000299.1.1.74.wav,507.0,503.0,68.0,R,cute!,ㅣ,0.009
