,name,word,start_x,end_x,sex,age,principal_residence,vowel,path,start_y,mid,end_y,consonant,status,mid_vowel,ratio
643,SDRW2100003834.1.1.148.wav,뉴스는,25600.0,33920.0,여성,20대,서울,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100003834.1.1.148.wav,553.0,623.0,670.0,N,cute!,ㅠ,0.598
644,SDRW2100003834.1.1.161.wav,뉴스를,30720.0,38400.0,여성,20대,서울,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100003834.1.1.161.wav,592.0,613.0,613.0,N,cute!,ㅠ,1.0
645,SDRW2100003834.1.1.161.wav,뉴스가,67200.0,72320.0,여성,20대,서울,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100003834.1.1.161.wav,592.0,613.0,613.0,N,cute!,ㅠ,1.0
646,SDRW2100003834.1.1.165.wav,뉴스를,0.0,7680.0,여성,20대,서울,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100003834.1.1.165.wav,0.0,186.0,238.0,N,cute!,ㅠ,0.782
647,SDRW2100003834.1.1.181.wav,뉴스가,42240.0,55040.0,여성,20대,서울,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100003834.1.1.181.wav,499.0,832.0,897.0,N,cute!,ㅠ,0.837
648,SDRW2100003834.1.1.187.wav,뉴스에,1920.0,13760.0,여성,20대,서울,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100003834.1.1.187.wav,137.0,234.0,303.0,N,cute!,ㅠ,0.584
649,SDRW2100003834.1.1.73.wav,뉴스나,0.0,12800.0,여성,20대,서울,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100003834.1.1.73.wav,0.0,84.0,157.0,N,cute!,ㅠ,0.535
650,SDRW2100003834.1.1.73.wav,뉴스로만,55680.0,70400.0,여성,20대,서울,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100003834.1.1.73.wav,0.0,84.0,157.0,N,cute!,ㅠ,0.535
651,SDRW2100003834.1.1.73.wav,뉴스나,0.0,12800.0,여성,20대,서울,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100003834.1.1.73.wav,711.0,838.0,903.0,N,cute!,ㅠ,0.661
652,SDRW2100003834.1.1.73.wav,뉴스로만,55680.0,70400.0,여성,20대,서울,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100003834.1.1.73.wav,711.0,838.0,903.0,N,cute!,ㅠ,0.661
653,SDRW2100003834.1.1.76.wav,뉴스가,20800.0,28480.0,여성,20대,서울,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100003834.1.1.76.wav,560.0,642.0,694.0,N,cute!,ㅠ,0.612
655,SDRW2100003842.1.1.1.wav,뉴스에,13760.0,20160.0,남성,20대,경기,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100003842.1.1.1.wav,497.0,598.0,692.0,N,cute!,ㅠ,0.518
656,SDRW2100003842.1.1.200.wav,뉴스,18560.0,24320.0,남성,20대,경기,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100003842.1.1.200.wav,532.0,821.0,839.0,N,cute!,ㅠ,0.941
664,SDRW2100003842.1.1.356.wav,뉴스도,11840.0,20800.0,남성,20대,경기,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100003842.1.1.356.wav,480.0,680.0,750.0,N,cute!,ㅠ,0.741
667,SDRW2100003842.1.1.70.wav,뉴스를,14400.0,20480.0,남성,20대,경기,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100003842.1.1.70.wav,515.0,571.0,690.0,N,cute!,ㅠ,0.32
668,SDRW2100003842.1.1.8.wav,뉴스가,19840.0,31360.0,남성,20대,경기,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100003842.1.1.8.wav,631.0,723.0,779.0,N,cute!,ㅠ,0.622
670,SDRW2100003846.1.1.238.wav,뉴스로,4480.0,9600.0,남성,20대,경기,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100003846.1.1.238.wav,359.0,360.0,419.0,N,cute!,ㅠ,0.017
671,SDRW2100003846.1.1.89.wav,뉴스로,11520.0,19200.0,남성,20대,경기,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100003846.1.1.89.wav,471.0,641.0,679.0,N,cute!,ㅠ,0.817
700,SDRW2100003892.1.1.257.wav,뉴스,4480.0,8960.0,여성,20대,경기,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100003892.1.1.257.wav,398.0,559.0,611.0,N,cute!,ㅠ,0.756
712,SDRW2100003996.1.1.204.wav,뉴스를,42240.0,48000.0,여성,20대,경기,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100003996.1.1.204.wav,504.0,607.0,635.0,N,cute!,ㅠ,0.786
713,SDRW2100003996.1.1.210.wav,뉴스를,36800.0,43520.0,여성,20대,경기,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100003996.1.1.210.wav,561.0,653.0,700.0,N,cute!,ㅠ,0.662
714,SDRW2100004000.1.1.168.wav,뉴스로,9600.0,17280.0,남성,20대,경기,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100004000.1.1.168.wav,595.0,616.0,738.0,N,cute!,ㅠ,0.147
715,SDRW2100004000.1.1.54.wav,뉴스,7360.0,13760.0,여성,20대,경기,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100004000.1.1.54.wav,579.0,826.0,874.0,N,cute!,ㅠ,0.837
716,SDRW2100004000.1.1.60.wav,뉴스,0.0,5120.0,여성,20대,경기,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100004000.1.1.60.wav,0.0,272.0,307.0,N,cute!,ㅠ,0.886
717,SDRW2100004000.1.1.61.wav,뉴스로,16640.0,24640.0,여성,20대,경기,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100004000.1.1.61.wav,591.0,694.0,784.0,N,cute!,ㅠ,0.534
718,SDRW2100004000.1.1.9.wav,뉴스들,0.0,9920.0,여성,20대,경기,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100004000.1.1.9.wav,0.0,210.0,241.0,N,cute!,ㅠ,0.871
727,SDRW2100004037.1.1.22.wav,뉴스를,15040.0,28800.0,여성,20대,서울,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100004037.1.1.22.wav,537.0,1037.0,1132.0,N,cute!,ㅠ,0.84
773,SDRW2100004149.1.1.18.wav,뉴스이다,4800.0,12160.0,여성,20대,서울,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100004149.1.1.18.wav,309.0,393.0,425.0,N,cute!,ㅠ,0.724
774,SDRW2100004149.1.1.275.wav,뉴스라,5120.0,12160.0,여성,20대,서울,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100004149.1.1.275.wav,429.0,471.0,504.0,N,cute!,ㅠ,0.56
775,SDRW2100004149.1.1.275.wav,뉴스라는,28160.0,33600.0,여성,20대,서울,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100004149.1.1.275.wav,429.0,471.0,504.0,N,cute!,ㅠ,0.56
776,SDRW2100004149.1.1.275.wav,뉴스라,5120.0,12160.0,여성,20대,서울,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100004149.1.1.275.wav,570.0,615.0,612.0,N,cute!,ㅠ,1.071
