0,1,2,3,4,5
,,,SDRW2100001415.1.1.98.wav,,full_sequence_rejected
,,,SDRW2100001418.1.1.196.wav,,full_sequence_rejected
455.0,470.0,646.0,SDRW2100001422.1.1.348.wav,I,cute!
341.0,421.0,596.0,SDRW2100001422.1.1.357.wav,M,cute!
,,,SDRW2100001423.1.1.143.wav,,model_not_consistant
549.0,1005.0,1014.0,SDRW2100001423.1.1.175.wav,,cute!
,,,SDRW2100001423.1.1.264.wav,,full_sequence_rejected
,,,SDRW2100001423.1.1.272.wav,,full_sequence_rejected
492.0,618.0,668.0,SDRW2100001423.1.1.277.wav,N,cute!
,,,SDRW2100001423.1.1.283.wav,,full_sequence_rejected
601.0,761.0,761.0,SDRW2100001423.1.1.29.wav,,cute!
561.0,608.0,608.0,SDRW2100001423.1.1.294.wav,,cute!
,,,SDRW2100001423.1.1.296.wav,,full_sequence_rejected
429.0,569.0,680.0,SDRW2100001423.1.1.304.wav,N,cute!
543.0,658.0,698.0,SDRW2100001423.1.1.31.wav,N,cute!
654.0,719.0,784.0,SDRW2100001423.1.1.323.wav,N,cute!
438.0,440.0,480.0,SDRW2100001423.1.1.331.wav,N,cute!
616.0,762.0,780.0,SDRW2100001423.1.1.35.wav,,cute!
788.0,833.0,929.0,SDRW2100001423.1.1.9.wav,N,cute!
,,,SDRW2100001423.1.1.95.wav,,full_sequence_rejected
,,,SDRW2100001424.1.1.166.wav,,unknown_error
300.0,350.0,465.0,SDRW2100001424.1.1.169.wav,N,cute!
400.0,465.0,517.0,SDRW2100001424.1.1.177.wav,N,cute!
0.0,249.0,306.0,SDRW2100001425.1.1.278.wav,N,cute!
637.0,679.0,737.0,SDRW2100001427.1.1.126.wav,L,cute!
,,,SDRW2100001427.1.1.132.wav,,full_sequence_rejected
,,,SDRW2100001436.1.1.233.wav,,model_not_consistant
45.0,863.0,958.0,SDRW2100001438.1.1.36.wav,N,cute!
,,,SDRW2100001439.1.1.255.wav,,full_sequence_rejected
140.0,204.0,260.0,SDRW2100001448.1.1.324.wav,N,cute!
542.0,664.0,665.0,SDRW2100001449.1.1.323.wav,,cute!
506.0,555.0,706.0,SDRW2100001451.1.1.152.wav,M,cute!
103.0,316.0,344.0,SDRW2100001452.1.1.217.wav,N,cute!
,,,SDRW2100001452.1.1.218.wav,,full_sequence_rejected
723.0,1065.0,1125.0,SDRW2100001458.1.1.224.wav,N,cute!
,,,SDRW2100001466.1.1.119.wav,,full_sequence_rejected
,,,SDRW2100001466.1.1.126.wav,,model_not_consistant
513.0,537.0,531.0,SDRW2100001466.1.1.147.wav,N,cute!
,,,SDRW2100001466.1.1.154.wav,,model_not_consistant
5.0,730.0,772.0,SDRW2100001466.1.1.154.wav,N,cute!
427.0,513.0,544.0,SDRW2100001466.1.1.155.wav,N,cute!
589.0,694.0,725.0,SDRW2100001466.1.1.164.wav,N,cute!
,,,SDRW2100001466.1.1.19.wav,,full_sequence_rejected
,,,SDRW2100001466.1.1.198.wav,,full_sequence_rejected
