0,1,2,3,4,5
,,,SDRW2100000853.1.1.143.wav,,full_sequence_rejected
,,,SDRW2100000866.1.1.13.wav,,full_sequence_rejected
,,,SDRW2100000870.1.1.127.wav,,full_sequence_rejected
617.0,896.0,957.0,SDRW2100000870.1.1.197.wav,N,cute!
0.0,216.0,309.0,SDRW2100000877.1.1.189.wav,N,cute!
0.0,176.0,229.0,SDRW2100000880.1.1.216.wav,N,cute!
129.0,207.0,208.0,SDRW2100000887.1.1.295.wav,,cute!
0.0,350.0,409.0,SDRW2100000898.1.1.75.wav,N,cute!
,,,SDRW2100000899.1.1.57.wav,,full_sequence_rejected
,,,SDRW2100000901.1.1.88.wav,,full_sequence_rejected
0.0,532.0,588.0,SDRW2100000902.1.1.253.wav,N,cute!
,,,SDRW2100000906.1.1.107.wav,,model_not_consistant
,,,SDRW2100000912.1.1.149.wav,,full_sequence_rejected
373.0,747.0,831.0,SDRW2100000918.1.1.287.wav,N,cute!
0.0,169.0,255.0,SDRW2100000918.1.1.288.wav,N,cute!
551.0,592.0,648.0,SDRW2100000918.1.1.99.wav,R,cute!
,,,SDRW2100000923.1.1.27.wav,,full_sequence_rejected
,,,SDRW2100000927.1.1.29.wav,,full_sequence_rejected
,,,SDRW2100000927.1.1.50.wav,,full_sequence_rejected
,,,SDRW2100000929.1.1.197.wav,,model_not_consistant
545.0,682.0,749.0,SDRW2100000929.1.1.61.wav,N,cute!
,,,SDRW2100000949.1.1.147.wav,,model_not_consistant
466.0,617.0,621.0,SDRW2100000949.1.1.149.wav,N,cute!
531.0,618.0,647.0,SDRW2100000964.1.1.126.wav,N,cute!
1022.0,1230.0,1284.0,SDRW2100000964.1.1.84.wav,N,cute!
101.0,434.0,559.0,SDRW2100000964.1.1.88.wav,N,cute!
573.0,764.0,805.0,SDRW2100000964.1.1.92.wav,N,cute!
467.0,650.0,741.0,SDRW2100000973.1.1.1.wav,N,cute!
318.0,439.0,567.0,SDRW2100000973.1.1.20.wav,N,cute!
1096.0,1178.0,1178.0,SDRW2100000973.1.1.275.wav,,cute!
,,,SDRW2100000973.1.1.34.wav,,full_sequence_rejected
,,,SDRW2100000973.1.1.57.wav,,full_sequence_rejected
461.0,528.0,636.0,SDRW2100000977.1.1.274.wav,N,cute!
610.0,649.0,627.0,SDRW2100000977.1.1.62.wav,N,cute!
260.0,462.0,495.0,SDRW2100000984.1.1.135.wav,R,cute!
,,,SDRW2100000984.1.1.153.wav,,full_sequence_rejected
525.0,578.0,661.0,SDRW2100000992.1.1.16.wav,N,cute!
357.0,401.0,401.0,SDRW2100000995.1.1.186.wav,,cute!
,,,SDRW2100000996.1.1.151.wav,,full_sequence_rejected
0.0,346.0,385.0,SDRW2100000997.1.1.154.wav,,cute!
,,,SDRW2100000997.1.1.219.wav,,full_sequence_rejected
,,,SDRW2100000997.1.1.221.wav,,full_sequence_rejected
,,,SDRW2100000997.1.1.74.wav,,full_sequence_rejected
468.0,539.0,571.0,SDRW2100000997.1.1.78.wav,N,cute!
,,,SDRW2100001000.1.1.144.wav,,full_sequence_rejected
544.0,638.0,734.0,SDRW2100001006.1.1.362.wav,N,cute!
599.0,671.0,705.0,SDRW2100001008.1.1.1.wav,N,cute!
181.0,253.0,444.0,SDRW2100001008.1.1.102.wav,EU,cute!
587.0,633.0,701.0,SDRW2100001008.1.1.103.wav,G,cute!
184.0,255.0,438.0,SDRW2100001008.1.1.141.wav,EU,cute!
,,,SDRW2100001008.1.1.146.wav,,full_sequence_rejected
,,,SDRW2100001008.1.1.164.wav,,full_sequence_rejected
,,,SDRW2100001008.1.1.165.wav,,model_not_consistant
501.0,530.0,571.0,SDRW2100001008.1.1.166.wav,A,cute!
,,,SDRW2100001008.1.1.169.wav,,model_not_consistant
547.0,587.0,630.0,SDRW2100001008.1.1.184.wav,N,cute!
,,,SDRW2100001008.1.1.194.wav,,full_sequence_rejected
,,,SDRW2100001008.1.1.197.wav,,full_sequence_rejected
,,,SDRW2100001008.1.1.211.wav,,full_sequence_rejected
,,,SDRW2100001008.1.1.27.wav,,model_not_consistant
,,,SDRW2100001008.1.1.27.wav,,model_not_consistant
488.0,518.0,604.0,SDRW2100001008.1.1.279.wav,A,cute!
,,,SDRW2100001008.1.1.306.wav,,model_not_consistant
541.0,1055.0,1092.0,SDRW2100001008.1.1.317.wav,N,cute!
465.0,522.0,561.0,SDRW2100001008.1.1.335.wav,A,cute!
,,,SDRW2100001008.1.1.58.wav,,model_not_consistant
456.0,506.0,653.0,SDRW2100001008.1.1.85.wav,A,cute!
580.0,741.0,815.0,SDRW2100001008.1.1.92.wav,N,cute!
412.0,744.0,807.0,SDRW2100001011.1.1.1.wav,N,cute!
860.0,880.0,1371.0,SDRW2100001011.1.1.106.wav,EU,cute!
4.0,127.0,127.0,SDRW2100001011.1.1.140.wav,,cute!
,,,SDRW2100001011.1.1.149.wav,,full_sequence_rejected
,,,SDRW2100001011.1.1.173.wav,,full_sequence_rejected
,,,SDRW2100001011.1.1.179.wav,,full_sequence_rejected
580.0,685.0,777.0,SDRW2100001011.1.1.189.wav,N,cute!
,,,SDRW2100001011.1.1.192.wav,,model_not_consistant
,,,SDRW2100001011.1.1.214.wav,,full_sequence_rejected
321.0,538.0,865.0,SDRW2100001011.1.1.216.wav,A,cute!
,,,SDRW2100001011.1.1.245.wav,,full_sequence_rejected
,,,SDRW2100001011.1.1.256.wav,,full_sequence_rejected
