0,1,2,3,4,5
425.0,523.0,513.0,SDRW2100003482.1.1.188.wav,N,cute!
,,,SDRW2100003482.1.1.19.wav,,full_sequence_rejected
,,,SDRW2100003482.1.1.215.wav,,full_sequence_rejected
,,,SDRW2100003482.1.1.225.wav,,model_not_consistant
,,,SDRW2100003482.1.1.241.wav,,full_sequence_rejected
791.0,893.0,934.0,SDRW2100003482.1.1.245.wav,R,cute!
532.0,632.0,627.0,SDRW2100003482.1.1.26.wav,N,cute!
536.0,656.0,656.0,SDRW2100003482.1.1.262.wav,N,cute!
541.0,626.0,647.0,SDRW2100003482.1.1.4.wav,N,cute!
498.0,582.0,656.0,SDRW2100003482.1.1.45.wav,N,cute!
,,,SDRW2100003482.1.1.56.wav,,model_not_consistant
,,,SDRW2100003482.1.1.58.wav,,full_sequence_rejected
,,,SDRW2100003482.1.1.61.wav,,full_sequence_rejected
,,,SDRW2100003482.1.1.83.wav,,full_sequence_rejected
,,,SDRW2100003482.1.1.9.wav,,full_sequence_rejected
,,,SDRW2100003482.1.1.97.wav,,model_not_consistant
455.0,571.0,617.0,SDRW2100003491.1.1.107.wav,N,cute!
556.0,716.0,773.0,SDRW2100003491.1.1.212.wav,N,cute!
,,,SDRW2100003492.1.1.111.wav,,full_sequence_rejected
632.0,740.0,816.0,SDRW2100003492.1.1.181.wav,,cute!
,,,SDRW2100003492.1.1.25.wav,,full_sequence_rejected
,,,SDRW2100003492.1.1.31.wav,,full_sequence_rejected
542.0,955.0,1012.0,SDRW2100003492.1.1.41.wav,N,cute!
,,,SDRW2100003492.1.1.52.wav,,full_sequence_rejected
,,,SDRW2100003492.1.1.80.wav,,model_not_consistant
,,,SDRW2100003493.1.1.236.wav,,unknown_error
,,,SDRW2100003493.1.1.3.wav,,unknown_error
716.0,761.0,842.0,SDRW2100003497.1.1.246.wav,N,cute!
,,,SDRW2100003517.1.1.92.wav,,model_not_consistant
558.0,675.0,781.0,SDRW2100003526.1.1.229.wav,D,cute!
,,,SDRW2100003527.1.1.100.wav,,model_not_consistant
5.0,154.0,439.0,SDRW2100003527.1.1.119.wav,R,cute!
0.0,214.0,267.0,SDRW2100003527.1.1.120.wav,R,cute!
495.0,590.0,691.0,SDRW2100003527.1.1.22.wav,R,cute!
,,,SDRW2100003527.1.1.287.wav,,full_sequence_rejected
,,,SDRW2100003546.1.1.29.wav,,full_sequence_rejected
0.0,371.0,453.0,SDRW2100003552.1.1.28.wav,N,cute!
114.0,408.0,461.0,SDRW2100003552.1.1.43.wav,M,cute!
,,,SDRW2100003557.1.1.109.wav,,model_not_consistant
,,,SDRW2100003582.1.1.316.wav,,model_not_consistant
,,,SDRW2100003600.1.1.258.wav,,full_sequence_rejected
,,,SDRW2100003615.1.1.90.wav,,full_sequence_rejected
,,,SDRW2100003615.1.1.90.wav,,full_sequence_rejected
,,,SDRW2100003616.1.1.126.wav,,full_sequence_rejected
562.0,711.0,818.0,SDRW2100003618.1.1.295.wav,N,cute!
,,,SDRW2100003626.1.1.136.wav,,full_sequence_rejected
,,,SDRW2100003626.1.1.173.wav,,full_sequence_rejected
,,,SDRW2100003626.1.1.212.wav,,full_sequence_rejected
,,,SDRW2100003626.1.1.222.wav,,full_sequence_rejected
,,,SDRW2100003626.1.1.26.wav,,full_sequence_rejected
,,,SDRW2100003626.1.1.75.wav,,full_sequence_rejected
,,,SDRW2100003627.1.1.140.wav,,full_sequence_rejected
,,,SDRW2100003627.1.1.264.wav,,full_sequence_rejected
,,,SDRW2100003627.1.1.297.wav,,full_sequence_rejected
,,,SDRW2100003627.1.1.38.wav,,full_sequence_rejected
,,,SDRW2100003627.1.1.68.wav,,full_sequence_rejected
,,,SDRW2100003627.1.1.71.wav,,full_sequence_rejected
,,,SDRW2100003627.1.1.85.wav,,full_sequence_rejected
0.0,52.0,101.0,SDRW2100003633.1.1.273.wav,D,cute!
0.0,189.0,259.0,SDRW2100003633.1.1.339.wav,N,cute!
626.0,705.0,743.0,SDRW2100003634.1.1.266.wav,N,cute!
82.0,161.0,238.0,SDRW2100003636.1.1.110.wav,EU,cute!
619.0,777.0,874.0,SDRW2100003644.1.1.121.wav,R,cute!
256.0,372.0,500.0,SDRW2100003644.1.1.192.wav,A,cute!
,,,SDRW2100003650.1.1.275.wav,,full_sequence_rejected
,,,SDRW2100003650.1.1.276.wav,,model_not_consistant
,,,SDRW2100003656.1.1.195.wav,,full_sequence_rejected
314.0,533.0,596.0,SDRW2100003663.1.1.6.wav,N,cute!
581.0,701.0,762.0,SDRW2100003664.1.1.210.wav,N,cute!
,,,SDRW2100003669.1.1.370.wav,,full_sequence_rejected
,,,SDRW2100003685.1.1.358.wav,,full_sequence_rejected
,,,SDRW2100003686.1.1.123.wav,,full_sequence_rejected
,,,SDRW2100003686.1.1.49.wav,,full_sequence_rejected
,,,SDRW2100003687.1.1.1.wav,,full_sequence_rejected
,,,SDRW2100003687.1.1.351.wav,,full_sequence_rejected
,,,SDRW2100003687.1.1.386.wav,,full_sequence_rejected
10.0,333.0,418.0,SDRW2100003687.1.1.61.wav,N,cute!
3.0,208.0,275.0,SDRW2100003688.1.1.11.wav,N,cute!
153.0,279.0,360.0,SDRW2100003688.1.1.9.wav,D,cute!
,,,SDRW2100003689.1.1.21.wav,,full_sequence_rejected
534.0,746.0,897.0,SDRW2100003690.1.1.302.wav,N,cute!
,,,SDRW2100003691.1.1.327.wav,,full_sequence_rejected
,,,SDRW2100003691.1.1.327.wav,,full_sequence_rejected
443.0,1005.0,1093.0,SDRW2100003693.1.1.56.wav,N,cute!
364.0,655.0,747.0,SDRW2100003693.1.1.56.wav,N,cute!
,,,SDRW2100003694.1.1.1.wav,,full_sequence_rejected
,,,SDRW2100003694.1.1.111.wav,,model_not_consistant
,,,SDRW2100003694.1.1.174.wav,,full_sequence_rejected
362.0,545.0,603.0,SDRW2100003694.1.1.51.wav,R,cute!
,,,SDRW2100003695.1.1.32.wav,,full_sequence_rejected
611.0,942.0,1008.0,SDRW2100003695.1.1.76.wav,M,cute!
,,,SDRW2100003696.1.1.4.wav,,full_sequence_rejected
,,,SDRW2100003700.1.1.40.wav,,full_sequence_rejected
,,,SDRW2100003700.1.1.71.wav,,full_sequence_rejected
597.0,605.0,892.0,SDRW2100003705.1.1.126.wav,O,cute!
589.0,780.0,780.0,SDRW2100003705.1.1.186.wav,,cute!
,,,SDRW2100003708.1.1.252.wav,,full_sequence_rejected
,,,SDRW2100003708.1.1.51.wav,,model_not_consistant
2.0,409.0,409.0,SDRW2100003708.1.1.53.wav,,cute!
599.0,646.0,744.0,SDRW2100003708.1.1.54.wav,,cute!
