0,1,2,3,4,5
541.0,796.0,903.0,SDRW2200002474.1.1.265.wav,M,cute!
504.0,615.0,683.0,SDRW2200002474.1.1.273.wav,R,cute!
571.0,632.0,655.0,SDRW2200002474.1.1.273.wav,R,cute!
,,,SDRW2200002474.1.1.274.wav,,full_sequence_rejected
750.0,882.0,944.0,SDRW2200002474.1.1.274.wav,R,cute!
,,,SDRW2200002474.1.1.279.wav,,full_sequence_rejected
,,,SDRW2200002474.1.1.289.wav,,full_sequence_rejected
,,,SDRW2200002474.1.1.331.wav,,full_sequence_rejected
,,,SDRW2200002474.1.1.336.wav,,full_sequence_rejected
,,,SDRW2200002474.1.1.85.wav,,full_sequence_rejected
,,,SDRW2200002477.1.1.249.wav,,full_sequence_rejected
,,,SDRW2200002477.1.1.281.wav,,model_not_consistant
0.0,181.0,247.0,SDRW2200002477.1.1.432.wav,R,cute!
0.0,157.0,252.0,SDRW2200002478.1.1.303.wav,R,cute!
,,,SDRW2200002488.1.1.279.wav,,unknown_error
364.0,609.0,660.0,SDRW2200002491.1.1.220.wav,R,cute!
0.0,107.0,177.0,SDRW2200002492.1.1.180.wav,R,cute!
651.0,1340.0,1394.0,SDRW2200002492.1.1.216.wav,R,cute!
331.0,502.0,620.0,SDRW2200002498.1.1.110.wav,R,cute!
662.0,846.0,971.0,SDRW2200002499.1.1.230.wav,R,cute!
,,,SDRW2200002500.1.1.111.wav,,unknown_error
,,,SDRW2200002500.1.1.46.wav,,unknown_error
,,,SDRW2200002503.1.1.170.wav,,unknown_error
313.0,723.0,757.0,SDRW2200002505.1.1.343.wav,M,cute!
,,,SDRW2200002506.1.1.169.wav,,unknown_error
,,,SDRW2200002506.1.1.183.wav,,unknown_error
,,,SDRW2200002506.1.1.184.wav,,unknown_error
542.0,688.0,751.0,SDRW2200002510.1.1.123.wav,R,cute!
498.0,512.0,693.0,SDRW2200002510.1.1.128.wav,I,cute!
467.0,544.0,572.0,SDRW2200002518.1.1.160.wav,R,cute!
449.0,561.0,577.0,SDRW2200002519.1.1.77.wav,R,cute!
303.0,690.0,737.0,SDRW2200002531.1.1.241.wav,R,cute!
,,,SDRW2200002540.1.1.109.wav,,full_sequence_rejected
657.0,1100.0,1140.0,SDRW2200002544.1.1.63.wav,R,cute!
,,,SDRW2200002548.1.1.245.wav,,model_not_consistant
,,,SDRW2200002548.1.1.248.wav,,full_sequence_rejected
93.0,514.0,521.0,SDRW2200002551.1.1.293.wav,R,cute!
0.0,91.0,125.0,SDRW2200002555.1.1.16.wav,R,cute!
538.0,624.0,697.0,SDRW2200002559.1.1.22.wav,R,cute!
167.0,479.0,569.0,SDRW2200002559.1.1.44.wav,N,cute!
0.0,107.0,157.0,SDRW2200002559.1.1.48.wav,R,cute!
,,,SDRW2200002560.1.1.178.wav,,full_sequence_rejected
881.0,883.0,884.0,SDRW2200002561.1.1.18.wav,,cute!
323.0,453.0,475.0,SDRW2200002561.1.1.3.wav,N,cute!
602.0,699.0,739.0,SDRW2200002561.1.1.304.wav,N,cute!
,,,SDRW2200002576.1.1.325.wav,,model_not_consistant
,,,SDRW2200002581.1.1.318.wav,,model_not_consistant
,,,SDRW2200002581.1.1.319.wav,,full_sequence_rejected
516.0,540.0,660.0,SDRW2200002581.1.1.320.wav,R,cute!
40.0,496.0,496.0,SDRW2200002585.1.1.142.wav,,cute!
