0,1,2,3,4,5
459.0,1186.0,1279.0,SDRW2200000320.1.1.146.wav,R,cute!
516.0,633.0,701.0,SDRW2200000341.1.1.109.wav,R,cute!
307.0,390.0,453.0,SDRW2200000341.1.1.245.wav,R,cute!
710.0,766.0,1154.0,SDRW2200000341.1.1.254.wav,R,cute!
,,,SDRW2200000346.1.1.127.wav,,full_sequence_rejected
467.0,943.0,1001.0,SDRW2200000348.1.1.162.wav,R,cute!
513.0,734.0,779.0,SDRW2200000348.1.1.211.wav,R,cute!
744.0,845.0,916.0,SDRW2200000348.1.1.230.wav,R,cute!
572.0,868.0,1184.0,SDRW2200000348.1.1.231.wav,R,cute!
441.0,678.0,745.0,SDRW2200000351.1.1.38.wav,R,cute!
445.0,617.0,681.0,SDRW2200000352.1.1.150.wav,R,cute!
364.0,431.0,1267.0,SDRW2200000352.1.1.59.wav,Th,cute!
1.0,83.0,155.0,SDRW2200000356.1.1.225.wav,R,cute!
,,,SDRW2200000356.1.1.228.wav,,model_not_consistant
509.0,605.0,674.0,SDRW2200000356.1.1.246.wav,R,cute!
739.0,908.0,1099.0,SDRW2200000359.1.1.45.wav,R,cute!
4.0,806.0,937.0,SDRW2200000359.1.1.45.wav,R,cute!
0.0,197.0,285.0,SDRW2200000363.1.1.167.wav,R,cute!
,,,SDRW2200000364.1.1.117.wav,,unknown_error
273.0,356.0,499.0,SDRW2200000364.1.1.188.wav,NG,cute!
,,,SDRW2200000365.1.1.265.wav,,full_sequence_rejected
515.0,638.0,695.0,SDRW2200000368.1.1.265.wav,R,cute!
536.0,730.0,781.0,SDRW2200000371.1.1.99.wav,R,cute!
,,,SDRW2200000374.1.1.96.wav,,model_not_consistant
314.0,412.0,514.0,SDRW2200000380.1.1.179.wav,R,cute!
204.0,225.0,710.0,SDRW2200000423.1.1.60.wav,E,cute!
249.0,291.0,673.0,SDRW2200000423.1.1.61.wav,E,cute!
268.0,285.0,748.0,SDRW2200000423.1.1.62.wav,E,cute!
180.0,254.0,303.0,SDRW2200000423.1.1.63.wav,E,cute!
,,,SDRW2200000427.1.1.137.wav,,full_sequence_rejected
,,,SDRW2200000427.1.1.137.wav,,full_sequence_rejected
251.0,624.0,694.0,SDRW2200000427.1.1.138.wav,R,cute!
161.0,829.0,858.0,SDRW2200000427.1.1.238.wav,R,cute!
435.0,725.0,807.0,SDRW2200000427.1.1.86.wav,R,cute!
339.0,470.0,875.0,SDRW2200000429.1.1.146.wav,EU,cute!
5.0,157.0,254.0,SDRW2200000439.1.1.44.wav,R,cute!
0.0,577.0,639.0,SDRW2200000439.1.1.51.wav,R,cute!
494.0,644.0,720.0,SDRW2200000447.1.1.5.wav,N,cute!
649.0,1097.0,1193.0,SDRW2200000452.1.1.207.wav,R,cute!
537.0,713.0,747.0,SDRW2200000452.1.1.208.wav,R,cute!
0.0,284.0,340.0,SDRW2200000452.1.1.211.wav,R,cute!
211.0,360.0,385.0,SDRW2200000452.1.1.55.wav,R,cute!
515.0,624.0,724.0,SDRW2200000455.1.1.294.wav,L,cute!
703.0,853.0,954.0,SDRW2200000462.1.1.296.wav,R,cute!
930.0,981.0,1029.0,SDRW2200000473.1.1.222.wav,R,cute!
513.0,867.0,908.0,SDRW2200000474.1.1.131.wav,R,cute!
,,,SDRW2200000481.1.1.71.wav,,full_sequence_rejected
536.0,986.0,1079.0,SDRW2200000492.1.1.170.wav,R,cute!
141.0,184.0,204.0,SDRW2200000492.1.1.282.wav,,cute!
,,,SDRW2200000492.1.1.283.wav,,model_not_consistant
0.0,139.0,238.0,SDRW2200000499.1.1.121.wav,R,cute!
153.0,234.0,314.0,SDRW2200000499.1.1.321.wav,R,cute!
,,,SDRW2200000501.1.1.149.wav,,full_sequence_rejected
118.0,342.0,437.0,SDRW2200000503.1.1.222.wav,R,cute!
0.0,215.0,250.0,SDRW2200000509.1.1.192.wav,R,cute!
0.0,115.0,409.0,SDRW2200000509.1.1.193.wav,R,cute!
596.0,699.0,714.0,SDRW2200000515.1.1.94.wav,R,cute!
0.0,122.0,162.0,SDRW2200000519.1.1.134.wav,R,cute!
260.0,345.0,457.0,SDRW2200000542.1.1.10.wav,R,cute!
596.0,805.0,855.0,SDRW2200000542.1.1.18.wav,R,cute!
1.0,200.0,225.0,SDRW2200000542.1.1.19.wav,M,cute!
592.0,1154.0,1199.0,SDRW2200000544.1.1.1.wav,R,cute!
887.0,1433.0,1828.0,SDRW2200000544.1.1.160.wav,R,cute!
,,,SDRW2200000544.1.1.167.wav,,full_sequence_rejected
616.0,924.0,994.0,SDRW2200000544.1.1.189.wav,R,cute!
,,,SDRW2200000544.1.1.30.wav,,full_sequence_rejected
470.0,863.0,934.0,SDRW2200000544.1.1.33.wav,R,cute!
0.0,70.0,744.0,SDRW2200000546.1.1.129.wav,M,cute!
531.0,595.0,676.0,SDRW2200000546.1.1.154.wav,L,cute!
122.0,433.0,497.0,SDRW2200000551.1.1.76.wav,R,cute!
,,,SDRW2200000551.1.1.78.wav,,model_not_consistant
52.0,203.0,302.0,SDRW2200000566.1.1.103.wav,R,cute!
451.0,574.0,677.0,SDRW2200000566.1.1.149.wav,L,cute!
568.0,659.0,723.0,SDRW2200000566.1.1.255.wav,R,cute!
915.0,1066.0,1106.0,SDRW2200000566.1.1.74.wav,R,cute!
246.0,353.0,428.0,SDRW2200000566.1.1.98.wav,R,cute!
631.0,674.0,724.0,SDRW2200000566.1.1.98.wav,R,cute!
511.0,564.0,696.0,SDRW2200000570.1.1.282.wav,R,cute!
813.0,965.0,1052.0,SDRW2200000580.1.1.12.wav,G,cute!
,,,SDRW2200000591.1.1.280.wav,,full_sequence_rejected
,,,SDRW2200000592.1.1.10.wav,,model_not_consistant
641.0,779.0,862.0,SDRW2200000592.1.1.102.wav,R,cute!
,,,SDRW2200000592.1.1.111.wav,,model_not_consistant
0.0,74.0,148.0,SDRW2200000592.1.1.239.wav,R,cute!
481.0,560.0,636.0,SDRW2200000592.1.1.259.wav,R,cute!
,,,SDRW2200000592.1.1.86.wav,,model_not_consistant
587.0,630.0,709.0,SDRW2200000592.1.1.86.wav,R,cute!
,,,SDRW2200000592.1.1.92.wav,,unknown_error
28.0,116.0,132.0,SDRW2200000592.1.1.95.wav,J,cute!
,,,SDRW2200000592.1.1.95.wav,,model_not_consistant
902.0,971.0,1194.0,SDRW2200000592.1.1.96.wav,N,cute!
491.0,945.0,1052.0,SDRW2200000605.1.1.141.wav,R,cute!
1.0,78.0,124.0,SDRW2200000606.1.1.143.wav,R,cute!
,,,SDRW2200000610.1.1.67.wav,,full_sequence_rejected
,,,SDRW2200000610.1.1.81.wav,,full_sequence_rejected
0.0,98.0,185.0,SDRW2200000612.1.1.197.wav,R,cute!
14.0,421.0,508.0,SDRW2200000612.1.1.198.wav,R,cute!
237.0,997.0,1077.0,SDRW2200000612.1.1.201.wav,R,cute!
0.0,112.0,179.0,SDRW2200000612.1.1.252.wav,R,cute!
,,,SDRW2200000629.1.1.121.wav,,full_sequence_rejected
