0,1,2,3,4,5
440.0,655.0,659.0,SDRW2000000007.1.1.116.wav,R,cute!
,,,SDRW2000000007.1.1.119.wav,,full_sequence_rejected
546.0,664.0,744.0,SDRW2000000007.1.1.123.wav,R,cute!
,,,SDRW2000000009.1.1.104.wav,,full_sequence_rejected
,,,SDRW2000000014.1.1.338.wav,,full_sequence_rejected
,,,SDRW2000000028.1.1.85.wav,,full_sequence_rejected
,,,SDRW2000000034.1.1.276.wav,,full_sequence_rejected
0.0,93.0,234.0,SDRW2000000034.1.1.301.wav,R,cute!
,,,SDRW2000000036.1.1.205.wav,,full_sequence_rejected
382.0,580.0,582.0,SDRW2000000036.1.1.5.wav,N,cute!
,,,SDRW2000000041.1.1.143.wav,,model_not_consistant
0.0,110.0,147.0,SDRW2000000042.1.1.101.wav,R,cute!
,,,SDRW2000000048.1.1.111.wav,,full_sequence_rejected
,,,SDRW2000000048.1.1.170.wav,,full_sequence_rejected
,,,SDRW2000000048.1.1.220.wav,,model_not_consistant
469.0,1346.0,1346.0,SDRW2000000048.1.1.228.wav,,cute!
,,,SDRW2000000048.1.1.237.wav,,full_sequence_rejected
,,,SDRW2000000048.1.1.248.wav,,full_sequence_rejected
,,,SDRW2000000048.1.1.254.wav,,full_sequence_rejected
,,,SDRW2000000048.1.1.345.wav,,full_sequence_rejected
,,,SDRW2000000048.1.1.55.wav,,model_not_consistant
,,,SDRW2000000048.1.1.59.wav,,full_sequence_rejected
,,,SDRW2000000048.1.1.69.wav,,full_sequence_rejected
383.0,663.0,755.0,SDRW2000000057.1.1.309.wav,R,cute!
,,,SDRW2000000061.1.1.14.wav,,full_sequence_rejected
478.0,652.0,681.0,SDRW2000000061.1.1.43.wav,R,cute!
381.0,588.0,613.0,SDRW2000000061.1.1.56.wav,R,cute!
247.0,444.0,477.0,SDRW2000000061.1.1.6.wav,R,cute!
,,,SDRW2000000067.1.1.106.wav,,full_sequence_rejected
694.0,785.0,890.0,SDRW2000000068.1.1.168.wav,R,cute!
,,,SDRW2000000071.1.1.254.wav,,full_sequence_rejected
,,,SDRW2000000073.1.1.274.wav,,unknown_error
,,,SDRW2000000073.1.1.281.wav,,full_sequence_rejected
,,,SDRW2000000073.1.1.287.wav,,model_not_consistant
,,,SDRW2000000073.1.1.287.wav,,model_not_consistant
240.0,671.0,810.0,SDRW2000000076.1.1.421.wav,R,cute!
,,,SDRW2000000077.1.1.357.wav,,unknown_error
,,,SDRW2000000091.1.1.163.wav,,full_sequence_rejected
543.0,647.0,699.0,SDRW2000000093.1.1.96.wav,R,cute!
0.0,197.0,268.0,SDRW2000000094.1.1.116.wav,R,cute!
419.0,546.0,644.0,SDRW2000000098.1.1.438.wav,L,cute!
,,,SDRW2000000099.1.1.320.wav,,unknown_error
