0,1,2,3,4,5
432.0,616.0,678.0,SDRW2100003856.1.1.255.wav,R,cute!
498.0,615.0,666.0,SDRW2100003856.1.1.31.wav,R,cute!
524.0,670.0,741.0,SDRW2100003856.1.1.32.wav,R,cute!
492.0,616.0,678.0,SDRW2100003856.1.1.8.wav,R,cute!
,,,SDRW2100003856.1.1.94.wav,,full_sequence_rejected
512.0,1202.0,1304.0,SDRW2100003860.1.1.106.wav,N,cute!
,,,SDRW2100003860.1.1.109.wav,,model_not_consistant
552.0,661.0,733.0,SDRW2100003860.1.1.113.wav,R,cute!
,,,SDRW2100003860.1.1.115.wav,,full_sequence_rejected
528.0,682.0,782.0,SDRW2100003860.1.1.278.wav,R,cute!
676.0,848.0,925.0,SDRW2100003860.1.1.294.wav,R,cute!
553.0,617.0,678.0,SDRW2100003860.1.1.72.wav,R,cute!
0.0,326.0,437.0,SDRW2100003863.1.1.51.wav,R,cute!
,,,SDRW2100003870.1.1.236.wav,,full_sequence_rejected
47.0,118.0,503.0,SDRW2100003870.1.1.246.wav,N,cute!
204.0,340.0,340.0,SDRW2100003870.1.1.285.wav,,cute!
,,,SDRW2100003870.1.1.295.wav,,model_not_consistant
243.0,449.0,529.0,SDRW2100003871.1.1.258.wav,R,cute!
558.0,651.0,738.0,SDRW2100003871.1.1.264.wav,R,cute!
562.0,942.0,996.0,SDRW2100003871.1.1.267.wav,R,cute!
0.0,537.0,613.0,SDRW2100003871.1.1.340.wav,R,cute!
0.0,596.0,666.0,SDRW2100003871.1.1.408.wav,R,cute!
9.0,433.0,526.0,SDRW2100003871.1.1.411.wav,R,cute!
634.0,723.0,799.0,SDRW2100003875.1.1.241.wav,N,cute!
378.0,926.0,996.0,SDRW2100003878.1.1.70.wav,R,cute!
0.0,318.0,347.0,SDRW2100003897.1.1.256.wav,R,cute!
,,,SDRW2100003897.1.1.257.wav,,full_sequence_rejected
,,,SDRW2100003897.1.1.259.wav,,full_sequence_rejected
0.0,284.0,309.0,SDRW2100003897.1.1.261.wav,R,cute!
,,,SDRW2100003897.1.1.262.wav,,full_sequence_rejected
604.0,793.0,820.0,SDRW2100003897.1.1.265.wav,R,cute!
,,,SDRW2100003904.1.1.115.wav,,model_not_consistant
530.0,1188.0,1222.0,SDRW2100003906.1.1.219.wav,R,cute!
,,,SDRW2100003911.1.1.162.wav,,model_not_consistant
,,,SDRW2100003911.1.1.170.wav,,model_not_consistant
,,,SDRW2100003911.1.1.170.wav,,model_not_consistant
927.0,1175.0,1490.0,SDRW2100003913.1.1.352.wav,R,cute!
0.0,141.0,185.0,SDRW2100003913.1.1.353.wav,R,cute!
0.0,247.0,304.0,SDRW2100003913.1.1.357.wav,R,cute!
,,,SDRW2100003915.1.1.241.wav,,unknown_error
0.0,312.0,363.0,SDRW2100003920.1.1.43.wav,R,cute!
576.0,809.0,892.0,SDRW2100003925.1.1.254.wav,R,cute!
,,,SDRW2100003925.1.1.263.wav,,model_not_consistant
,,,SDRW2100003927.1.1.289.wav,,full_sequence_rejected
0.0,106.0,189.0,SDRW2100003930.1.1.61.wav,R,cute!
419.0,489.0,489.0,SDRW2100003931.1.1.256.wav,,cute!
27.0,273.0,383.0,SDRW2100003931.1.1.257.wav,R,cute!
157.0,216.0,292.0,SDRW2100003931.1.1.314.wav,R,cute!
,,,SDRW2100003938.1.1.336.wav,,model_not_consistant
188.0,274.0,327.0,SDRW2100003940.1.1.197.wav,R,cute!
704.0,836.0,899.0,SDRW2100003945.1.1.93.wav,R,cute!
,,,SDRW2100003946.1.1.67.wav,,model_not_consistant
390.0,665.0,717.0,SDRW2100003946.1.1.79.wav,R,cute!
536.0,698.0,812.0,SDRW2100003948.1.1.129.wav,R,cute!
456.0,588.0,992.0,SDRW2100003954.1.1.100.wav,R,cute!
,,,SDRW2100003954.1.1.109.wav,,full_sequence_rejected
,,,SDRW2100003954.1.1.109.wav,,full_sequence_rejected
,,,SDRW2100003954.1.1.110.wav,,model_not_consistant
,,,SDRW2100003954.1.1.118.wav,,full_sequence_rejected
333.0,542.0,594.0,SDRW2100003954.1.1.165.wav,R,cute!
,,,SDRW2100003954.1.1.257.wav,,unknown_error
485.0,612.0,614.0,SDRW2100003954.1.1.27.wav,R,cute!
507.0,598.0,656.0,SDRW2100003954.1.1.27.wav,R,cute!
409.0,734.0,785.0,SDRW2100003954.1.1.299.wav,R,cute!
,,,SDRW2100003954.1.1.319.wav,,full_sequence_rejected
,,,SDRW2100003954.1.1.47.wav,,full_sequence_rejected
,,,SDRW2100003954.1.1.47.wav,,full_sequence_rejected
786.0,1121.0,1250.0,SDRW2100003954.1.1.48.wav,M,cute!
530.0,632.0,673.0,SDRW2100003954.1.1.69.wav,R,cute!
1.0,311.0,363.0,SDRW2100003956.1.1.133.wav,R,cute!
502.0,791.0,897.0,SDRW2100003961.1.1.46.wav,N,cute!
,,,SDRW2100003969.1.1.114.wav,,full_sequence_rejected
525.0,605.0,675.0,SDRW2100003973.1.1.59.wav,R,cute!
1.0,66.0,67.0,SDRW2100003981.1.1.219.wav,,cute!
585.0,631.0,672.0,SDRW2100003981.1.1.305.wav,R,cute!
,,,SDRW2100003992.1.1.41.wav,,model_not_consistant
48.0,599.0,662.0,SDRW2100003995.1.1.101.wav,R,cute!
0.0,219.0,261.0,SDRW2100003995.1.1.107.wav,N,cute!
497.0,737.0,798.0,SDRW2100003995.1.1.152.wav,R,cute!
603.0,846.0,951.0,SDRW2100003995.1.1.97.wav,L,cute!
,,,SDRW2100004007.1.1.320.wav,,full_sequence_rejected
381.0,520.0,520.0,SDRW2100004040.1.1.107.wav,,cute!
531.0,1173.0,1239.0,SDRW2100004040.1.1.22.wav,R,cute!
73.0,895.0,988.0,SDRW2100004040.1.1.42.wav,R,cute!
577.0,743.0,823.0,SDRW2100004040.1.1.51.wav,R,cute!
729.0,1014.0,1498.0,SDRW2100004042.1.1.56.wav,R,cute!
560.0,631.0,738.0,SDRW2100004042.1.1.57.wav,R,cute!
0.0,137.0,171.0,SDRW2100004042.1.1.6.wav,R,cute!
,,,SDRW2100004048.1.1.50.wav,,model_not_consistant
335.0,471.0,476.0,SDRW2100004054.1.1.117.wav,R,cute!
477.0,727.0,818.0,SDRW2100004062.1.1.106.wav,R,cute!
,,,SDRW2100004062.1.1.124.wav,,model_not_consistant
,,,SDRW2100004062.1.1.125.wav,,model_not_consistant
,,,SDRW2100004062.1.1.132.wav,,model_not_consistant
0.0,163.0,224.0,SDRW2100004062.1.1.138.wav,R,cute!
,,,SDRW2100004077.1.1.123.wav,,unknown_error
,,,SDRW2100004077.1.1.127.wav,,unknown_error
0.0,711.0,767.0,SDRW2100004092.1.1.44.wav,R,cute!
0.0,162.0,206.0,SDRW2100004101.1.1.320.wav,R,cute!
,,,SDRW2100004114.1.1.94.wav,,full_sequence_rejected
