0,1,2,3,4,5
,,,SDRW2100003514.1.1.60.wav,,full_sequence_rejected
,,,SDRW2100003516.1.1.359.wav,,unknown_error
,,,SDRW2100003544.1.1.219.wav,,model_not_consistant
512.0,630.0,630.0,SDRW2100003545.1.1.200.wav,,cute!
0.0,745.0,793.0,SDRW2100003571.1.1.142.wav,R,cute!
0.0,239.0,252.0,SDRW2100003571.1.1.163.wav,R,cute!
532.0,643.0,676.0,SDRW2100003571.1.1.82.wav,R,cute!
,,,SDRW2100003573.1.1.199.wav,,full_sequence_rejected
,,,SDRW2100003573.1.1.199.wav,,full_sequence_rejected
,,,SDRW2100003573.1.1.207.wav,,full_sequence_rejected
,,,SDRW2100003574.1.1.153.wav,,full_sequence_rejected
0.0,204.0,217.0,SDRW2100003577.1.1.269.wav,R,cute!
0.0,160.0,223.0,SDRW2100003590.1.1.311.wav,R,cute!
490.0,620.0,645.0,SDRW2100003591.1.1.248.wav,R,cute!
715.0,734.0,831.0,SDRW2100003591.1.1.262.wav,N,cute!
0.0,174.0,226.0,SDRW2100003591.1.1.55.wav,R,cute!
534.0,625.0,677.0,SDRW2100003594.1.1.277.wav,R,cute!
,,,SDRW2100003594.1.1.277.wav,,model_not_consistant
,,,SDRW2100003594.1.1.279.wav,,model_not_consistant
393.0,493.0,586.0,SDRW2100003594.1.1.280.wav,R,cute!
714.0,816.0,895.0,SDRW2100003594.1.1.280.wav,R,cute!
393.0,433.0,500.0,SDRW2100003594.1.1.284.wav,R,cute!
,,,SDRW2100003639.1.1.167.wav,,full_sequence_rejected
,,,SDRW2100003659.1.1.11.wav,,full_sequence_rejected
,,,SDRW2100003659.1.1.64.wav,,full_sequence_rejected
,,,SDRW2100003659.1.1.66.wav,,model_not_consistant
,,,SDRW2100003659.1.1.68.wav,,full_sequence_rejected
,,,SDRW2100003659.1.1.77.wav,,full_sequence_rejected
112.0,912.0,951.0,SDRW2100003659.1.1.87.wav,R,cute!
0.0,289.0,379.0,SDRW2100003666.1.1.77.wav,R,cute!
343.0,508.0,584.0,SDRW2100003666.1.1.78.wav,R,cute!
517.0,652.0,673.0,SDRW2100003670.1.1.365.wav,R,cute!
611.0,1018.0,1082.0,SDRW2100003684.1.1.218.wav,R,cute!
