,name,word,token,start_x,end_x,sex,age,principal_residence,vowel,path,start_y,mid,end_y,consonant,status,mid_vowel,ratio
858,SDRW2200000232.1.1.198.wav,리더기에,리더,0,10880,남성,20대,경기,ㄹㅣㄷ,/home/hyohyeongjang/phonology/ri/SDRW2200000232.1.1.198.wav,121,336,417,R,cute!,ㅣ,0.726
859,SDRW2200000232.1.1.212.wav,리더기의,리더,16000,24000,여성,20대,서울,ㄹㅣㄷ,/home/hyohyeongjang/phonology/ri/SDRW2200000232.1.1.212.wav,498,611,673,R,cute!,ㅣ,0.646
9,SDRW2000000068.1.1.168.wav,리더는,리더,0,17280,여성,20대,경기,ㄹㅣㄷ,/home/hyohyeongjang/phonology/ri/SDRW2000000068.1.1.168.wav,694,785,890,R,cute!,ㅣ,0.464
509,SDRW2100001589.1.1.350.wav,리더랑,리더,13760,24320,여성,20대,경기,ㄹㅣㄷ,/home/hyohyeongjang/phonology/ri/SDRW2100001589.1.1.350.wav,503,772,822,R,cute!,ㅣ,0.843
387,SDRW2100000928.1.1.80.wav,리더로,리더,40960,49920,여성,20대,경기,ㄹㅣㄷ,/home/hyohyeongjang/phonology/ri/SDRW2100000928.1.1.80.wav,602,729,833,R,cute!,ㅣ,0.55
171,SDRW2000001902.1.1.411.wav,리더로서,리더,0,14080,남성,20대,서울,ㄹㅣㄷ,/home/hyohyeongjang/phonology/ri/SDRW2000001902.1.1.411.wav,0,414,491,R,cute!,ㅣ,0.843
681,SDRW2100003777.1.1.35.wav,리더를,리더,0,11840,여성,20대,경기,ㄹㅣㄷ,/home/hyohyeongjang/phonology/ri/SDRW2100003777.1.1.35.wav,0,470,545,R,cute!,ㅣ,0.862
5,SDRW2000000057.1.1.309.wav,리더여도,리더,11840,20800,남성,20대,경기,ㄹㅣㄷ,/home/hyohyeongjang/phonology/ri/SDRW2000000057.1.1.309.wav,383,663,755,R,cute!,ㅣ,0.753
682,SDRW2100003777.1.1.41.wav,리더의,리더,0,19200,여성,20대,경기,ㄹㅣㄷ,/home/hyohyeongjang/phonology/ri/SDRW2100003777.1.1.41.wav,0,777,855,R,cute!,ㅣ,0.909
1334,SDRW2200002510.1.1.123.wav,리더잖아,리더,11520,19520,남성,20대,경기,ㄹㅣㄷ,/home/hyohyeongjang/phonology/ri/SDRW2200002510.1.1.123.wav,542,688,751,R,cute!,ㅣ,0.699
