name,word,start,end,sex,age,principal_residence,vowel,path
SDRW2000000076.1.1.421.wav,리스크가,13120.0,22720.0,여성,20대,대전,ㄹㅣㅅ,/home/hyohyeongjang/phonology/ri/SDRW2000000076.1.1.421.wav
SDRW2000000077.1.1.357.wav,리스크가,478400.0,479680.0,남성,20대,부산,ㄹㅣㅅ,/home/hyohyeongjang/phonology/ri/SDRW2000000077.1.1.357.wav
SDRW2000000091.1.1.163.wav,리허설,478400.0,479680.0,여성,20대,대구,ㄹㅣㅎ,/home/hyohyeongjang/phonology/ri/SDRW2000000091.1.1.163.wav
SDRW2000000093.1.1.96.wav,리는,13440.0,16960.0,여성,30대,제주,ㄹㅣㄴ,/home/hyohyeongjang/phonology/ri/SDRW2000000093.1.1.96.wav
SDRW2000000094.1.1.116.wav,리조트에서,0.0,9920.0,여성,20대,부산,ㄹㅣㅈ,/home/hyohyeongjang/phonology/ri/SDRW2000000094.1.1.116.wav
SDRW2000000098.1.1.438.wav,리믹스를,8960.0,17280.0,여성,20대,광주,ㄹㅣㅁ,/home/hyohyeongjang/phonology/ri/SDRW2000000098.1.1.438.wav
SDRW2000000099.1.1.320.wav,리뷰,479040.0,479680.0,여성,20대,광주,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2000000099.1.1.320.wav
SDRW2000000099.1.1.325.wav,리뷰를,7040.0,14400.0,여성,20대,광주,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2000000099.1.1.325.wav
SDRW2000000114.1.1.63.wav,리얼,20480.0,27520.0,남성,30대,부산,ㄹㅣㅓ,/home/hyohyeongjang/phonology/ri/SDRW2000000114.1.1.63.wav
SDRW2000000115.1.1.108.wav,리뷰,0.0,4480.0,남성,30대,부산,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2000000115.1.1.108.wav
SDRW2000000115.1.1.35.wav,리뷰를,0.0,8000.0,여성,20대,부산,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2000000115.1.1.35.wav
SDRW2000000121.1.1.84.wav,리그에서,4480.0,11520.0,남성,20대,강원,ㄹㅣㄱ,/home/hyohyeongjang/phonology/ri/SDRW2000000121.1.1.84.wav
SDRW2000000133.1.1.342.wav,리가,1920.0,6080.0,여성,50대,경북,ㄹㅣㄱ,/home/hyohyeongjang/phonology/ri/SDRW2000000133.1.1.342.wav
SDRW2000000133.1.1.353.wav,리,8640.0,11840.0,여성,50대,경북,ㄹㅣ,/home/hyohyeongjang/phonology/ri/SDRW2000000133.1.1.353.wav
SDRW2000000146.1.1.10.wav,류준열,11520.0,25920.0,여성,20대,광주,ㄹㅠㅈ,/home/hyohyeongjang/phonology/ri/SDRW2000000146.1.1.10.wav
SDRW2000000146.1.1.113.wav,류준열,0.0,479680.0,여성,20대,광주,ㄹㅠㅈ,/home/hyohyeongjang/phonology/ri/SDRW2000000146.1.1.113.wav
SDRW2000000146.1.1.12.wav,류준열,0.0,12480.0,여성,20대,광주,ㄹㅠㅈ,/home/hyohyeongjang/phonology/ri/SDRW2000000146.1.1.12.wav
SDRW2000000146.1.1.129.wav,류준열,0.0,479680.0,여성,20대,광주,ㄹㅠㅈ,/home/hyohyeongjang/phonology/ri/SDRW2000000146.1.1.129.wav
SDRW2000000146.1.1.143.wav,류준열보다,0.0,17600.0,여성,20대,광주,ㄹㅠㅈ,/home/hyohyeongjang/phonology/ri/SDRW2000000146.1.1.143.wav
SDRW2000000146.1.1.18.wav,류준열을,0.0,479680.0,여성,20대,광주,ㄹㅠㅈ,/home/hyohyeongjang/phonology/ri/SDRW2000000146.1.1.18.wav
SDRW2000000146.1.1.221.wav,류준열,10240.0,17920.0,여성,20대,광주,ㄹㅠㅈ,/home/hyohyeongjang/phonology/ri/SDRW2000000146.1.1.221.wav
SDRW2000000146.1.1.29.wav,류준열을,11200.0,24960.0,여성,20대,광주,ㄹㅠㅈ,/home/hyohyeongjang/phonology/ri/SDRW2000000146.1.1.29.wav
SDRW2000000146.1.1.328.wav,류준열,0.0,10240.0,여성,20대,광주,ㄹㅠㅈ,/home/hyohyeongjang/phonology/ri/SDRW2000000146.1.1.328.wav
SDRW2000000146.1.1.33.wav,류준열이,12480.0,24320.0,여성,20대,광주,ㄹㅠㅈ,/home/hyohyeongjang/phonology/ri/SDRW2000000146.1.1.33.wav
SDRW2000000146.1.1.334.wav,류준열,0.0,478720.0,여성,20대,광주,ㄹㅠㅈ,/home/hyohyeongjang/phonology/ri/SDRW2000000146.1.1.334.wav
SDRW2000000146.1.1.39.wav,류준열을,0.0,8640.0,여성,20대,광주,ㄹㅠㅈ,/home/hyohyeongjang/phonology/ri/SDRW2000000146.1.1.39.wav
SDRW2000000146.1.1.39.wav,류준열이,20800.0,32640.0,여성,20대,광주,ㄹㅠㅈ,/home/hyohyeongjang/phonology/ri/SDRW2000000146.1.1.39.wav
SDRW2000000146.1.1.64.wav,류준열,8320.0,17600.0,여성,20대,광주,ㄹㅠㅈ,/home/hyohyeongjang/phonology/ri/SDRW2000000146.1.1.64.wav
SDRW2000000146.1.1.65.wav,류준열,0.0,27200.0,여성,20대,광주,ㄹㅠㅈ,/home/hyohyeongjang/phonology/ri/SDRW2000000146.1.1.65.wav
SDRW2000000146.1.1.70.wav,류준열이,0.0,10240.0,여성,20대,광주,ㄹㅠㅈ,/home/hyohyeongjang/phonology/ri/SDRW2000000146.1.1.70.wav
SDRW2000000146.1.1.9.wav,류준열,0.0,5440.0,여성,20대,광주,ㄹㅠㅈ,/home/hyohyeongjang/phonology/ri/SDRW2000000146.1.1.9.wav
SDRW2000000146.1.1.97.wav,류준열이랑,0.0,12160.0,여성,20대,광주,ㄹㅠㅈ,/home/hyohyeongjang/phonology/ri/SDRW2000000146.1.1.97.wav
SDRW2000000165.1.1.207.wav,리조트랑,0.0,8000.0,남성,30대,서울,ㄹㅣㅈ,/home/hyohyeongjang/phonology/ri/SDRW2000000165.1.1.207.wav
SDRW2000000165.1.1.208.wav,리조트,0.0,9600.0,남성,30대,서울,ㄹㅣㅈ,/home/hyohyeongjang/phonology/ri/SDRW2000000165.1.1.208.wav
SDRW2000000177.1.1.322.wav,리더십을,0.0,8960.0,남성,20대,대전,ㄹㅣㄷ,/home/hyohyeongjang/phonology/ri/SDRW2000000177.1.1.322.wav
SDRW2000000188.1.1.267.wav,리차드,0.0,7680.0,여성,50대,대구,ㄹㅣㅊ,/home/hyohyeongjang/phonology/ri/SDRW2000000188.1.1.267.wav
SDRW2000000194.1.1.183.wav,리뷰,1600.0,5120.0,여성,20대,광주,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2000000194.1.1.183.wav
SDRW2000000194.1.1.204.wav,리뷰,3520.0,9280.0,여성,20대,광주,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2000000194.1.1.204.wav
SDRW2000000194.1.1.68.wav,리뷰가,8960.0,29760.0,여성,20대,광주,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2000000194.1.1.68.wav
SDRW2000000209.1.1.276.wav,리드해줄,6400.0,17600.0,여성,20대,서울,ㄹㅣㄷ,/home/hyohyeongjang/phonology/ri/SDRW2000000209.1.1.276.wav
SDRW2000000217.1.1.326.wav,류현진,0.0,10880.0,남성,20대,충북,ㄹㅠㅎ,/home/hyohyeongjang/phonology/ri/SDRW2000000217.1.1.326.wav
SDRW2000000217.1.1.327.wav,류현진,4480.0,11520.0,남성,20대,충북,ㄹㅠㅎ,/home/hyohyeongjang/phonology/ri/SDRW2000000217.1.1.327.wav
SDRW2000000217.1.1.376.wav,류현진,0.0,9920.0,남성,20대,충북,ㄹㅠㅎ,/home/hyohyeongjang/phonology/ri/SDRW2000000217.1.1.376.wav
SDRW2000000217.1.1.402.wav,류현진,0.0,15040.0,남성,20대,충북,ㄹㅠㅎ,/home/hyohyeongjang/phonology/ri/SDRW2000000217.1.1.402.wav
SDRW2000000217.1.1.94.wav,리버풀로,30400.0,39680.0,남성,20대,대전,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2000000217.1.1.94.wav
SDRW2000000222.1.1.68.wav,리얼은,4160.0,12480.0,여성,20대,대구,ㄹㅣㅓ,/home/hyohyeongjang/phonology/ri/SDRW2000000222.1.1.68.wav
SDRW2000000225.1.1.160.wav,리조트랑,0.0,16960.0,여성,20대,대구,ㄹㅣㅈ,/home/hyohyeongjang/phonology/ri/SDRW2000000225.1.1.160.wav
SDRW2000000227.1.1.119.wav,리어카를,0.0,17600.0,여성,10대,경기,ㄹㅣㅓ,/home/hyohyeongjang/phonology/ri/SDRW2000000227.1.1.119.wav
SDRW2000000227.1.1.143.wav,리어카,0.0,8640.0,여성,10대,경기,ㄹㅣㅓ,/home/hyohyeongjang/phonology/ri/SDRW2000000227.1.1.143.wav
SDRW2000000227.1.1.86.wav,리어카가,0.0,8640.0,여성,10대,경기,ㄹㅣㅓ,/home/hyohyeongjang/phonology/ri/SDRW2000000227.1.1.86.wav
SDRW2000000232.1.1.279.wav,리듬도,478400.0,479680.0,남성,20대,광주,ㄹㅣㄷ,/home/hyohyeongjang/phonology/ri/SDRW2000000232.1.1.279.wav
SDRW2000000237.1.1.102.wav,리스트에,34240.0,49280.0,남성,20대,경기,ㄹㅣㅅ,/home/hyohyeongjang/phonology/ri/SDRW2000000237.1.1.102.wav
SDRW2000000240.1.1.169.wav,리뷰를,0.0,13440.0,여성,30대,경기,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2000000240.1.1.169.wav
