id,sex,age,principal_residence
SD2000169,여성,20대,대구
SD2000170,남성,20대,대구
SD2000171,남성,20대,대구
SD2000172,여성,20대,대구
SD2001645,여성,10대,인천
SD2001646,여성,10대,인천
SD2000174,여성,20대,부산
SD2000175,남성,30대,부산
SD2000174,여성,20대,부산
SD2000175,남성,30대,부산
SD2000176,여성,20대,부산
SD2000177,여성,20대,부산
SD2000177,여성,20대,부산
SD2000178,남성,30대,강원
SD2000179,여성,20대,울산
SD2000180,여성,30대,울산
SD2002206,여성,10대,부산
SD2002207,여성,10대,부산
SD2000183,남성,20대,충남
SD2000184,여성,20대,광주
SD2000185,남성,20대,강원
SD2000186,남성,20대,강원
SD2000187,여성,20대,강원
SD2000188,남성,20대,강원
SD2002377,남성,10대,부산
SD2002378,남성,10대,부산
SD2000190,여성,60대,충남
SD2000191,여성,60대,충북
SD2000192,여성,20대,서울
SD2000193,여성,20대,서울
SD2000194,여성,60대,서울
SD2000195,여성,30대,경북
SD2000196,여성,50대,서울
SD2000197,여성,30대,경남
SD2000198,여성,30대,경기
SD2000199,여성,60대,경기
SD2000200,남성,30대,전북
SD2000201,남성,20대,대전
SD2000200,남성,30대,전북
SD2000201,남성,20대,대전
SD2000202,여성,20대,인천
SD2000203,남성,30대,대전
SD2000204,여성,50대,대전
SD2000205,여성,50대,경북
SD2000206,여성,20대,강원
SD2000205,여성,50대,경북
SD2000206,여성,20대,강원
SD2000204,여성,50대,대전
SD2000207,여성,20대,대구
SD2000208,여성,20대,대구
SD2000209,여성,20대,대구
SD2000208,여성,20대,대구
SD2002371,여성,40대,광주
SD2002372,여성,40대,광주
SD2000210,남성,20대,대구
SD2000211,여성,20대,대구
SD2000212,여성,20대,경남
SD2000213,여성,20대,부산
SD2002365,여성,10대,부산
SD2002366,여성,10대,부산
SD2002367,여성,10대,전남
SD2002368,여성,10대,전남
SD2000216,남성,20대,제주
SD2000217,여성,20대,부산
SD2000216,남성,20대,제주
SD2000217,여성,20대,부산
SD2000218,여성,20대,광주
SD2000219,여성,20대,광주
SD2000220,여성,20대,광주
SD2000221,여성,20대,광주
SD2000220,여성,20대,광주
SD2000222,여성,20대,광주
SD2000223,여성,20대,광주
SD2000224,남성,30대,광주
SD2000223,여성,20대,광주
SD2000224,남성,30대,광주
SD2000225,남성,20대,강원
SD2000226,여성,20대,울산
SD2000227,여성,30대,강원
SD2000228,여성,20대,강원
SD2000229,여성,20대,전남
SD2000228,여성,20대,강원
SD2002733,여성,10대,제주
SD2000230,여성,10대,제주
SD2000231,여성,20대,부산
SD2000230,여성,10대,제주
SD2000232,남성,20대,서울
SD2000233,여성,20대,경기
SD2000234,남성,20대,제주
SD2000233,여성,20대,경기
SD2000234,남성,20대,제주
SD2000232,남성,20대,서울
SD2000235,남성,20대,서울
SD2000236,여성,20대,제주
SD2000235,남성,20대,서울
SD2000236,여성,20대,제주
SD2000237,남성,20대,광주
SD2000238,남성,20대,광주
SD2000239,남성,20대,강원
SD2000240,여성,40대,강원
SD2000239,남성,20대,강원
SD2000240,여성,40대,강원
SD2000241,여성,20대,강원
SD2000242,여성,20대,강원
SD2000241,여성,20대,강원
SD2000242,여성,20대,강원
SD2000243,남성,20대,제주
SD2000244,남성,20대,제주
SD2000245,남성,30대,서울
SD2000246,여성,30대,서울
SD2000247,여성,20대,경기
SD2000248,여성,40대,서울
SD2000249,남성,20대,제주
SD2000250,남성,20대,충북
SD2000251,여성,30대,서울
SD2000252,남성,30대,서울
SD2002365,여성,10대,부산
SD2002366,여성,10대,부산
SD2000255,남성,30대,서울
SD2000256,여성,20대,경북
SD2000257,여성,20대,충남
SD2000258,남성,20대,대전
SD2000257,여성,20대,충남
SD2000258,남성,20대,대전
SD2000259,여성,20대,경기
SD2000260,남성,20대,대전
SD2000259,여성,20대,경기
SD2000260,남성,20대,대전
SD2000261,여성,20대,인천
SD2000262,남성,20대,대전
SD2000261,여성,20대,인천
SD2000263,여성,20대,대전
SD2001141,여성,40대,경기
SD2001142,여성,40대,서울
SD2000266,남성,30대,경북
SD2000267,남성,20대,대구
SD2000268,여성,30대,대구
SD2000266,남성,30대,경북
SD2001647,여성,50대,대전
SD2001648,여성,50대,대전
SD2002204,여성,40대,부산
SD2002205,남성,40대,서울
SD2002202,여성,10대,경남
SD2002203,여성,10대,부산
SD2002202,여성,10대,경남
SD2002203,여성,10대,부산
SD2002200,여성,50대,대구
SD2002201,여성,50대,서울
SD2000274,남성,20대,인천
SD2000275,여성,30대,부산
SD2002200,여성,50대,대구
SD2002201,여성,50대,서울
SD2002197,남성,10대,서울
SD2002199,여성,10대,서울
SD2002197,남성,10대,서울
SD2002198,여성,10대,경기
SD2000278,여성,20대,광주
SD2000279,남성,20대,광주
SD2000278,여성,20대,광주
SD2000279,남성,20대,광주
SD2000282,여성,20대,광주
SD2000283,여성,20대,광주
SD2000284,남성,20대,광주
SD2000282,여성,20대,광주
SD2000284,남성,20대,광주
SD2000283,여성,20대,광주
SD2000285,여성,40대,강원
SD2000286,여성,40대,경북
SD2000285,여성,40대,강원
SD2000286,여성,40대,경북
SD2000287,남성,10대,강원
SD2000288,남성,10대,강원
SD2000288,남성,10대,강원
SD2000289,남성,10대,강원
SD2000290,여성,20대,서울
SD2000291,남성,10대,경기
SD2000290,여성,20대,서울
SD2000292,남성,10대,인천
SD2000293,여성,20대,울산
SD2000294,여성,50대,경기
SD2000295,남성,20대,서울
SD2000296,여성,10대,경기
SD2000297,여성,50대,대구
SD2000296,여성,10대,경기
SD2000298,여성,50대,경북
SD2000299,여성,50대,경기
SD2000298,여성,50대,경북
SD2000299,여성,50대,경기
SD2000300,남성,20대,서울
SD2000301,여성,10대,서울
SD2000302,여성,20대,서울
SD2000301,여성,10대,서울
SD2000303,여성,30대,경기
SD2000304,남성,20대,제주
SD2000303,여성,30대,경기
SD2000304,남성,20대,제주
SD2000305,여성,20대,경기
SD2000306,남성,20대,서울
SD2000305,여성,20대,경기
SD2000306,남성,20대,서울
SD2001650,여성,10대,대구
SD2001649,여성,10대,대구
SD2000307,여성,20대,제주
SD2000308,남성,20대,제주
SD2000309,남성,20대,충북
SD2000310,남성,20대,대전
SD2000309,남성,20대,충북
SD2000310,남성,20대,대전
SD2000313,여성,20대,경기
SD2000311,여성,10대,대전
SD2002367,여성,10대,전남
SD2002368,여성,10대,전남
SD2000316,여성,20대,대구
SD2000317,여성,20대,대구
SD2000317,여성,20대,대구
SD2000318,남성,20대,대구
SD2000319,남성,30대,대구
SD2000320,여성,20대,대구
SD2002195,여성,50대,서울
SD2002196,여성,40대,전남
SD2002401,여성,10대,경기
SD2002402,여성,10대,경기
SD2000323,여성,20대,부산
SD2000324,여성,20대,부산
SD2000323,여성,20대,부산
SD2000324,여성,20대,부산
SD2000325,여성,20대,광주
SD2000326,여성,20대,광주
SD2000325,여성,20대,광주
SD2000326,여성,20대,광주
SD2000327,남성,20대,광주
SD2000328,남성,20대,광주
SD2000329,남성,20대,광주
SD2000328,남성,20대,광주
SD2000327,남성,20대,광주
SD2000329,남성,20대,광주
SD2000330,여성,40대,전북
SD2000331,남성,20대,경기
SD2000332,남성,20대,제주
SD2000330,여성,40대,전북
SD2000333,남성,20대,제주
SD2000334,남성,20대,경기
SD2000335,여성,20대,충남
SD2000336,여성,20대,서울
SD2000337,여성,20대,경기
SD2000338,여성,30대,경기
SD2000337,여성,20대,경기
SD2000338,여성,30대,경기
SD2000339,남성,30대,서울
SD2000340,남성,20대,서울
SD2002734,남성,20대,서울
SD2000340,남성,20대,서울
SD2002299,여성,40대,강원
SD2002300,여성,40대,강원
SD2002303,여성,40대,경기
SD2002304,여성,40대,강원
SD2000344,여성,30대,부산
SD2000345,여성,20대,서울
SD2000344,여성,30대,부산
SD2000346,여성,30대,부산
SD2000347,남성,30대,서울
SD2000348,여성,30대,충남
SD2000349,남성,20대,서울
SD2000350,여성,20대,경기
SD2000351,여성,20대,서울
SD2000350,여성,20대,경기
SD2000352,여성,20대,경기
SD2000353,여성,20대,대전
