folder,id,form,original_form,speaker_id,start,end,note
SDRW2100002864,SDRW2100002864.1.1.96,가짜 뉴스가 나올 수도 있는 거잖아.,가짜 뉴스가 나올 수두 있는 거잖아.,SD2102216,246.62,248.52,
SDRW2100002864,SDRW2100002864.1.1.102,그 가짜 뉴스로 인해서,그 가짜 뉴스로 인해서,SD2102216,257.78,259.56846,
SDRW2100002864,SDRW2100002864.1.1.111,그 가짜 뉴스 안에도,그 가짜 뉴스 안에도,SD2102217,287.75,290.009,
SDRW2100002864,SDRW2100002864.1.1.113,그래서 나는 이제 모든 가짜 뉴스,그래서 나는 이제 모든 가짜 뉴스,SD2102217,291.7,293.899,
SDRW2100002864,SDRW2100002864.1.1.115,가짜 뉴스에 대한 징벌적 손해 배상 무슨,가짜 뉴스에 대한 징벌적 손해 배상 무슨,SD2102217,297.15,300.099,
SDRW2100002864,SDRW2100002864.1.1.141,가짜 뉴스를 가짜 뉴스라고 하는 것도,가짜 뉴스를 가짜 뉴스라고 하는 것도,SD2102217,372.25,375.479,
SDRW2100002864,SDRW2100002864.1.1.150,그래서 유튜브에 대한 건 무조건 가짜 뉴스다 저런 걸 왜 보냐,그래서 유튜브에 대한 건 무조건 가짜 뉴스다 저런 걸 왜 보냐,SD2102217,396.73899,399.629,
SDRW2100002864,SDRW2100002864.1.1.155,가짜 뉴스가 물론 모든 가짜 뉴스가 사람들에게,가짜 뉴스가 물론 모든 가짜 뉴스가 사람들에게,SD2102216,411.089,415.54901,
SDRW2100002864,SDRW2100002864.1.1.160,가짜 뉴스,가짜 뉴스,SD2102216,426.82,428.10901,
SDRW2100002864,SDRW2100002864.1.1.163,어떤 게 가짜 뉴스고 어떤 게 오보라고 생각을 해?,어떤 게 가짜 뉴스고 어떤 게 오보라고 생각을 해?,SD2102216,431.72899,434.709,
SDRW2100002864,SDRW2100002864.1.1.164,나는 가짜 뉴스는,나는 가짜 뉴스는,SD2102217,435.71901,437.53901,
SDRW2100002864,SDRW2100002864.1.1.166,진짜 뉴스가 가짜 뉴스가 될 수도 있고,진짜 뉴스가 가짜 뉴스가 될 수두 있고,SD2102217,441.19308,443.26223,
SDRW2100002864,SDRW2100002864.1.1.167,가짜 뉴스가 그냥 진짜 가짜 뉴스일 수 있는데,가짜 뉴스가 그냥 진짜 가짜 뉴스일 수 있는데,SD2102217,443.26223,445.519,
SDRW2100002864,SDRW2100002864.1.1.180,가짜 뉴스가 진짜 뉴스가 될 수도 있고 진짜 뉴스가 가짜 뉴스가 되는 그런 상황이 많이 발생하니까,가짜 뉴스가 진짜 뉴스가 될 수두 있구 진짜 뉴스가 가짜 뉴스가 되는 그런 상황이 많이 발생하니까,SD2102216,475.97,480.95901,
SDRW2100002864,SDRW2100002864.1.1.199,악의적인 가짜 뉴스는,악의적인 가짜 뉴스는,SD2102216,526.89,529.41901,
SDRW2100002864,SDRW2100002864.1.1.200,사람들 이렇게 행동에도 피해를 할 수 있는 악의적인 뉴스는,사람들 이케 행동에도 피해를 할 수 있는 악의적인 뉴스는,SD2102216,529.95,533.11923,
SDRW2100002864,SDRW2100002864.1.1.222,근데 애초에 변별력이 중요하고 그런 그렇게 중요하면은 애초에 가짜 뉴스가 있을 수가,근데 애초에 변별력이 중요하고 그런 그렇게 중요하면은 애초에 가짜 뉴스가 있을 수가,SD2102216,592.509,599.00902,
SDRW2100002864,SDRW2100002864.1.1.230,그래서 나는 변별력을 기르는 건 좋지만 그 변별력은 가짜 뉴스를,그래서 나는 변별력을 기르는 건 좋지만 그 변별력은 가짜 뉴스를,SD2102216,620.24,624.34698,
SDRW2100002864,SDRW2100002864.1.1.235,그러면은 가짜 뉴스에,그러면은 가짜 뉴스에,SD2102217,643.57902,645.99902,
SDRW2100002864,SDRW2100002864.1.1.238,뉴스가 돼 버리면은,뉴스가 돼 버리면은,SD2102217,651.08898,652.50898,
SDRW2100002864,SDRW2100002864.1.1.244,악의적인 뉴스 악의가 있고 그 내용이,악의적인 뉴스 악의가 있고 그 내용이,SD2102216,661.37898,664.77903,
SDRW2100002864,SDRW2100002864.1.1.270,뉴스들이 하 하는 거는,뉴스든이 -하- 하는 거는,SD2102216,738.47,740.59897,
SDRW2100002864,SDRW2100002864.1.1.292,이 가짜 뉴스나 이런 정보를 제공하는 데 있어서는,이 가짜 뉴스나 이런 정보를 제공하는 데 있어서는,SD2102216,795.53,798.74899,
SDRW2100002864,SDRW2100002864.1.1.308,가짜 뉴스에 대한 피해를,가짜 뉴스에 대한 피해를,SD2102217,831.01901,832.43438,
SDRW2100002864,SDRW2100002864.1.1.311,맞아 가짜 가짜 뉴스에 대한,맞어 가짜 가짜 뉴스에 대한,SD2102216,836.629,839.19497,
SDRW2100002864,SDRW2100002864.1.1.316,물론 그 변별력이 중요하지만 그 분별력은 가짜 뉴스가 아닌,물론 그 변별력이 중요하지만 그 분별력은 가짜 뉴스가 아닌,SD2102216,850.25,853.88898,
SDRW2100002864,SDRW2100002864.1.1.328,그런 부분에 있어서는 그 가짜 뉴스가 책임을,그런 부분에 있어서는 그 가짜 뉴스가 책임을,SD2102216,890.97,894.359,
SDRW2100002870,SDRW2100002870.1.1.207,그것이 뉴스에 캥거루족이라고 캥거루가 자기 주머니에 그 아기 캥거루를 놓고 키우는 것처럼,그게 뉴스에 캥거루족이라고 캥거루가 자기 주머니에 그 아기 캉거루를 놓고 키우는 것처럼,SD2102220,536.23901,543.55,
SDRW2100002871,SDRW2100002871.1.1.4,요즘 뉴스에 정말 많이 나오는 그 가수 중의 하나인데,요즘 뉴스에 정말 많이 나오는 그 가수 중에 하나인데,SD2102220,9.979,14.02,
SDRW2100002872,SDRW2100002872.1.1.2,오늘 뉴스를 보니깐 화성시에서,오늘 뉴스를 보니깐 화성시에서,SD2102220,2.4,5.66,
SDRW2100002872,SDRW2100002872.1.1.3,버스를 무상으로 이용할 수 있게끔 무상 대중교통 하는 방향을 시행하도 시행하는 것이 뉴스에 나왔더라고,뻐쓰를 무상으로 이용할 수 있게끔 무상 대중교통 하는 방향을 시행하도 시행하는 게 뉴스에 나왔더라고,SD2102220,6.34,14.37,
SDRW2100002872,SDRW2100002872.1.1.15,나도 저번에 뉴스를 봤거든,나도 저번에 뉴스를 봤거든,SD2102221,46.67,48.87597,
SDRW2100002901,SDRW2100002901.1.1.128,아 거기서 나오는 게 뉴 플러스 머니를 만들어,아 거기서 나오는 게 뉴 플라스 머니를 만들어,SD2102211,323.29901,326.91899,
SDRW2100002901,SDRW2100002901.1.1.129,뉴 플러스 머니라는 것은,뉴 플라스 머니라는 것은,SD2102211,327.07,329.24,
SDRW2100002901,SDRW2100002901.1.1.134,어 새로운 생성된 돈을 뉴 플러스라는 통장을 만들어서,어 새로운 생성된 돈을 뉴 플러스라는 통장을 만들어서,SD2102211,339.84,344.08,
SDRW2100002901,SDRW2100002901.1.1.146,그것을 돈을 만들어서 여기 뉴 플러스 통장에 넣는 거예요.,그걸 돈을 만들어서 여기 뉴 플러스 통장에 늫는 거예요.,SD2102211,379.73,382.95,
SDRW2100002902,SDRW2100002902.1.1.294,그러게 가끔 가다 뉴스 나는 거 보면 그래도,그르게 가끔 가다 뉴스 나는 거 보면 그래도,SD2102211,784.13901,787.08,
SDRW2100002911,SDRW2100002911.1.1.1,언니 요즘에 뉴스에서 최근에 그거 보신 적 있어요?,언니 요즘에 뉴스에서 최근에 그거 보신 적 있어요?,SD2102234,2.83,6.82,
SDRW2100002911,SDRW2100002911.1.1.7,음 저 뉴스 보다가 이제 인터넷으로 봤는데,음 저 뉴스 보다가 이제 인터넷으로 봤는데,SD2102234,24.01,26.97,
SDRW2100002916,SDRW2100002916.1.1.363,뭔가 거짓말 같아요. 그냥 뭔가 가짜 뉴스 같고.,뭔가 거짓말 같애요. 그냥 뭔가 가짜 뉴스 같고.,SD2102237,903.86897,906.559,
SDRW2100002966,SDRW2100002966.1.1.12,니트를 되게 많이 산 것 같고 바지도 두 벌 정도 산 것 같아,니트를 되게 많이 산 것 같고 바지도 두 벌 정도 산 것 같애,SD2102169,43.07,47.02,
SDRW2100002967,SDRW2100002967.1.1.88,내용 형식의 뉴스를 본 적 있어.,내용 형식의 뉴스를 본 적 있어.,SD2102169,319.61952,322.44,
SDRW2100002967,SDRW2100002967.1.1.166,약간 보안에 취약하다는 뉴스를 본 적이 있어.,약간 보안에 취약하다는 뉴쓰를 본 적이 있어.,SD2102169,601.16898,604.29,
SDRW2100002983,SDRW2100002983.1.1.137,뉴스나 어떤 티브이 같은 거를 볼 때,뉴스나 어떤 티비 같은 거를 볼 때,SD2101388,430.06,433.69,
SDRW2100002983,SDRW2100002983.1.1.151,그냥 제가 뉴스를 이제 9번으로 이제 틀어서 보거든요.,그냥 제가 뉴스를 이제 구 번으로 이제 틀어서 보거든요.,SD2101388,476.45,480.95496,
SDRW2100002990,SDRW2100002990.1.1.58,나 이제 니트 그렇게 샀었어.,나 이제 니트 그렇게 샀었어.,SD2101391,203.29001,206.54999,
SDRW2100002990,SDRW2100002990.1.1.93,아까 니트 바지,아까 니트 바지,SD2101392,324.60298,326.46901,
SDRW2100002991,SDRW2100002991.1.1.116,샀던 팀인데 뉴캐슬이란 팀이야 지금은,샀던 팀인데 뉴캐슬이란 팀이야 지금은,SD2101391,371.88,374.56899,
SDRW2100002992,SDRW2100002992.1.1.162,센텀에서 산 민트 색깔 니트 가디건 알지?,센텀에서 산 민트 색깔 니트 가디건 알지?,SD2101394,421.09898,424.46901,
SDRW2100002992,SDRW2100002992.1.1.171,28만 원인가 짜리 니트를 샀어.,이십팔만 원인가 ((짜리)) 니트를 샀어.,SD2101393,451.15,453.79901,
SDRW2100002992,SDRW2100002992.1.1.174,그래 가지고 그 너랑 센텀 또 갔을 때 셀린느 갔을 때 샀던 아 입었던 니트 있잖아.,그래 가주구 그 너랑 센텀 또 갔을 때 셀린느 갔을 때 샀던 아 입었던 니트 있잖아.,SD2101393,460.269,465.28097,
SDRW2100002992,SDRW2100002992.1.1.183,언니가 간다 막 이런 데서 9천 원짜리 니트를 샀는데,언니가 간다 막 이런 데서 구천 원짜리 니트를 샀는데,SD2101393,483.90901,487.20131,
SDRW2100002996,SDRW2100002996.1.1.97,니트를 보고 있는데,니트를 보고 있는데,SD2101395,313.24022,315.27,
SDRW2100002996,SDRW2100002996.1.1.99,니트도 약간 이제 깔끔하면서 요즘 유행이,니트도 약간 이제 깔끔하면서 요즘 유행이,SD2101395,316.5851,321.13899,
SDRW2100002996,SDRW2100002996.1.1.101,그 니트 쪽 이제 지퍼 달린 것 있잖아 지퍼 달린 것.,그 니트 쪽 이제 지퍼 달린 거 있잖아 지퍼 달린 거.,SD2101395,321.53168,325.91583,
SDRW2100002996,SDRW2100002996.1.1.128,니트류 같은 것도 입어도 괜찮을 것 같은데,니트류 같은 것도 입어도 괜찮을 거 같은데,SD2101395,403.04565,406.17,
SDRW2100002996,SDRW2100002996.1.1.163,에 올 검으로 그냥 목티까지 지금 분홍 색깔 니트를 입으셨는데,에 올 검으로 그냥 목티까지 지금 분홍 색깔 니트를 입으셨는데,SD2101395,518.07098,522.9611,
SDRW2100003000,SDRW2100003000.1.1.223,새로 그 받을 그 폰이 카메라는 저거보다는 좋다 니가 쓰는 거보다,새로 그 받을 그 폰이 카메라는 저거보다는 좋다 니가 쓰는 거보다,SD2102174,610.3,615.15,
SDRW2100003020,SDRW2100003020.1.1.77,니 요즘은,((니)) 요즘은,SD2103009,207.4,208.5,
